,Visitor,visitor_score,Home,home_score,season,week,wins_visitor,wins_local,winner,favorite,underdog_win,division_visitor,division_home,interdivision
173,Dallas CowboysDAL,9,New England PatriotsNE,13,2019,12,6,9,New England PatriotsNE,New England PatriotsNE,No,NFC East,AFC East,No
174,Green Bay PackersGB,8,San Francisco 49ersSF,37,2019,12,8,9,San Francisco 49ersSF,San Francisco 49ersSF,No,NFC North,NFC West,No
175,Baltimore RavensBAL,45,Los Angeles RamsLA,6,2019,12,8,6,Baltimore RavensBAL,Baltimore RavensBAL,No,AFC North,NFC West,No
176,Chicago BearsCHI,24,Detroit LionsDET,20,2019,13,5,3,Chicago BearsCHI,Chicago BearsCHI,No,NFC North,NFC South,No
177,Buffalo BillsBUF,26,Dallas CowboysDAL,15,2019,13,8,6,Buffalo BillsBUF,Buffalo BillsBUF,No,AFC East,NFC East,No
178,New Orleans SaintsNO,26,Atlanta FalconsATL,18,2019,13,9,3,New Orleans SaintsNO,New Orleans SaintsNO,No,NFC South,NFC South,Yes
179,San Francisco 49ersSF,17,Baltimore RavensBAL,20,2019,13,10,9,Baltimore RavensBAL,San Francisco 49ersSF,Yes,NFC West,AFC North,No
180,Washington RedskinsWAS,29,Carolina PanthersCAR,21,2019,13,2,5,Washington RedskinsWAS,Carolina PanthersCAR,Yes,NFC East,NFC South,No
181,New York JetsNYJ,6,Cincinnati BengalsCIN,22,2019,13,4,0,Cincinnati BengalsCIN,New York JetsNYJ,Yes,AFC East,AFC North,No
182,Tennessee TitansTEN,31,Indianapolis ColtsIND,17,2019,13,6,6,Tennessee TitansTEN,No Favorite,No Favorite,AFC South,AFC South,Yes
183,Tampa Bay BuccaneersTB,28,Jacksonville JaguarsJAX,11,2019,13,4,4,Tampa Bay BuccaneersTB,No Favorite,No Favorite,NFC South,AFC South,No
184,Philadelphia EaglesPHI,31,Miami DolphinsMIA,37,2019,13,5,2,Miami DolphinsMIA,Philadelphia EaglesPHI,Yes,NFC East,AFC East,No
185,Green Bay PackersGB,31,New York GiantsNYG,13,2019,13,8,2,Green Bay PackersGB,Green Bay PackersGB,No,NFC North,NFC East,No
186,Cleveland BrownsCLE,13,Pittsburgh SteelersPIT,20,2019,13,5,6,Pittsburgh SteelersPIT,Pittsburgh SteelersPIT,No,AFC North,AFC North,Yes
187,Los Angeles RamsLA,34,Arizona CardinalsARI,7,2019,13,6,3,Los Angeles RamsLA,Los Angeles RamsLA,No,NFC West,NFC West,Yes
188,Oakland RaidersOAK,9,Kansas City ChiefsKC,40,2019,13,6,7,Kansas City ChiefsKC,Kansas City ChiefsKC,No,AFC West,AFC West,Yes
189,Los Angeles ChargersLAC,20,Denver BroncosDEN,23,2019,13,4,3,Denver BroncosDEN,Los Angeles ChargersLAC,Yes,AFC West,AFC West,Yes
190,New England PatriotsNE,22,Houston TexansHOU,28,2019,13,10,7,Houston TexansHOU,New England PatriotsNE,Yes,AFC East,AFC South,No
191,Minnesota VikingsMIN,30,Seattle SeahawksSEA,37,2019,13,8,9,Seattle SeahawksSEA,Seattle SeahawksSEA,No,NFC North,NFC West,No
192,Dallas CowboysDAL,24,Chicago BearsCHI,31,2019,14,6,6,Chicago BearsCHI,No Favorite,No Favorite,NFC East,NFC North,No
193,Carolina PanthersCAR,20,Atlanta FalconsATL,40,2019,14,5,3,Atlanta FalconsATL,Carolina PanthersCAR,Yes,NFC South,NFC South,Yes
194,Baltimore RavensBAL,24,Buffalo BillsBUF,17,2019,14,10,9,Baltimore RavensBAL,Baltimore RavensBAL,No,AFC North,AFC East,No
195,Cincinnati BengalsCIN,19,Cleveland BrownsCLE,27,2019,14,1,5,Cleveland BrownsCLE,Cleveland BrownsCLE,No,AFC North,AFC North,Yes
196,Washington RedskinsWAS,15,Green Bay PackersGB,20,2019,14,3,9,Green Bay PackersGB,Green Bay PackersGB,No,NFC East,NFC North,No
197,Denver BroncosDEN,38,Houston TexansHOU,24,2019,14,4,8,Denver BroncosDEN,Houston TexansHOU,Yes,AFC West,AFC South,No
198,Detroit LionsDET,7,Minnesota VikingsMIN,20,2019,14,3,8,Minnesota VikingsMIN,Minnesota VikingsMIN,No,NFC South,NFC North,No
199,San Francisco 49ersSF,48,New Orleans SaintsNO,46,2019,14,10,10,San Francisco 49ersSF,No Favorite,No Favorite,NFC West,NFC South,No
200,Miami DolphinsMIA,21,New York JetsNYJ,22,2019,14,3,4,New York JetsNYJ,New York JetsNYJ,No,AFC East,AFC East,Yes
201,Indianapolis ColtsIND,35,Tampa Bay BuccaneersTB,38,2019,14,6,5,Tampa Bay BuccaneersTB,Indianapolis ColtsIND,Yes,AFC South,NFC South,No
202,Los Angeles ChargersLAC,45,Jacksonville JaguarsJAX,10,2019,14,4,4,Los Angeles ChargersLAC,No Favorite,No Favorite,AFC West,AFC South,No
203,Pittsburgh SteelersPIT,23,Arizona CardinalsARI,17,2019,14,7,3,Pittsburgh SteelersPIT,Pittsburgh SteelersPIT,No,AFC North,NFC West,No
204,Kansas City ChiefsKC,23,New England PatriotsNE,16,2019,14,8,10,Kansas City ChiefsKC,New England PatriotsNE,Yes,AFC West,AFC East,No
205,Tennessee TitansTEN,42,Oakland RaidersOAK,21,2019,14,7,6,Tennessee TitansTEN,Tennessee TitansTEN,No,AFC South,AFC West,No
206,Seattle SeahawksSEA,12,Los Angeles RamsLA,28,2019,14,10,7,Los Angeles RamsLA,Seattle SeahawksSEA,Yes,NFC West,NFC West,Yes
207,New York GiantsNYG,17,Philadelphia EaglesPHI,23,2019,14,2,5,Philadelphia EaglesPHI,Philadelphia EaglesPHI,No,NFC East,NFC East,Yes
208,New York JetsNYJ,21,Baltimore RavensBAL,42,2019,15,5,11,Baltimore RavensBAL,Baltimore RavensBAL,No,AFC East,AFC North,No
209,Seattle SeahawksSEA,30,Carolina PanthersCAR,24,2019,15,10,5,Seattle SeahawksSEA,Seattle SeahawksSEA,No,NFC West,NFC South,No
210,New England PatriotsNE,34,Cincinnati BengalsCIN,13,2019,15,10,1,New England PatriotsNE,New England PatriotsNE,No,AFC East,AFC North,No
211,Tampa Bay BuccaneersTB,38,Detroit LionsDET,17,2019,15,6,3,Tampa Bay BuccaneersTB,Tampa Bay BuccaneersTB,No,NFC South,NFC South,Yes
212,Chicago BearsCHI,13,Green Bay PackersGB,21,2019,15,7,10,Green Bay PackersGB,Green Bay PackersGB,No,NFC North,NFC North,Yes
213,Denver BroncosDEN,3,Kansas City ChiefsKC,23,2019,15,5,9,Kansas City ChiefsKC,Kansas City ChiefsKC,No,AFC West,AFC West,Yes
214,Miami DolphinsMIA,20,New York GiantsNYG,36,2019,15,3,2,New York GiantsNYG,Miami DolphinsMIA,Yes,AFC East,NFC East,No
215,Houston TexansHOU,24,Tennessee TitansTEN,21,2019,15,8,8,Houston TexansHOU,No Favorite,No Favorite,AFC South,AFC South,Yes
216,Philadelphia EaglesPHI,37,Washington RedskinsWAS,27,2019,15,6,3,Philadelphia EaglesPHI,Philadelphia EaglesPHI,No,NFC East,NFC East,Yes
217,Cleveland BrownsCLE,24,Arizona CardinalsARI,38,2019,15,6,3,Arizona CardinalsARI,Cleveland BrownsCLE,Yes,AFC North,NFC West,No
218,Jacksonville JaguarsJAX,20,Oakland RaidersOAK,16,2019,15,4,6,Jacksonville JaguarsJAX,Oakland RaidersOAK,Yes,AFC South,AFC West,No
219,Minnesota VikingsMIN,39,Los Angeles ChargersLAC,10,2019,15,9,5,Minnesota VikingsMIN,Minnesota VikingsMIN,No,NFC North,AFC West,No
220,Los Angeles RamsLA,21,Dallas CowboysDAL,44,2019,15,8,6,Dallas CowboysDAL,Los Angeles RamsLA,Yes,NFC West,NFC East,No
221,Atlanta FalconsATL,29,San Francisco 49ersSF,22,2019,15,4,11,Atlanta FalconsATL,San Francisco 49ersSF,Yes,NFC South,NFC West,No
222,Buffalo BillsBUF,17,Pittsburgh SteelersPIT,10,2019,15,9,8,Buffalo BillsBUF,Buffalo BillsBUF,No,AFC East,AFC North,No
223,Indianapolis ColtsIND,7,New Orleans SaintsNO,34,2019,15,6,10,New Orleans SaintsNO,New Orleans SaintsNO,No,AFC South,NFC South,No
224,Houston TexansHOU,23,Tampa Bay BuccaneersTB,20,2019,16,9,7,Houston TexansHOU,Houston TexansHOU,No,AFC South,NFC South,No
225,Buffalo BillsBUF,17,New England PatriotsNE,24,2019,16,10,11,New England PatriotsNE,New England PatriotsNE,No,AFC East,AFC East,Yes
226,Los Angeles RamsLA,31,San Francisco 49ersSF,34,2019,16,8,11,San Francisco 49ersSF,San Francisco 49ersSF,No,NFC West,NFC West,Yes
227,Jacksonville JaguarsJAX,12,Atlanta FalconsATL,24,2019,16,5,5,Atlanta FalconsATL,No Favorite,No Favorite,AFC South,NFC South,No
228,Baltimore RavensBAL,31,Cleveland BrownsCLE,15,2019,16,12,6,Baltimore RavensBAL,Baltimore RavensBAL,No,AFC North,AFC North,Yes
229,Carolina PanthersCAR,6,Indianapolis ColtsIND,38,2019,16,5,6,Indianapolis ColtsIND,Indianapolis ColtsIND,No,NFC South,AFC South,No
230,Cincinnati BengalsCIN,35,Miami DolphinsMIA,38,2019,16,1,3,Miami DolphinsMIA,Miami DolphinsMIA,No,AFC North,AFC East,No
231,Pittsburgh SteelersPIT,10,New York JetsNYJ,16,2019,16,8,5,New York JetsNYJ,Pittsburgh SteelersPIT,Yes,AFC North,AFC East,No
232,New Orleans SaintsNO,38,Tennessee TitansTEN,28,2019,16,11,8,New Orleans SaintsNO,New Orleans SaintsNO,No,NFC South,AFC South,No
233,New York GiantsNYG,41,Washington RedskinsWAS,35,2019,16,3,3,New York GiantsNYG,No Favorite,No Favorite,NFC East,NFC East,Yes
234,Detroit LionsDET,17,Denver BroncosDEN,27,2019,16,3,5,Denver BroncosDEN,Denver BroncosDEN,No,NFC South,AFC West,No
235,Oakland RaidersOAK,24,Los Angeles ChargersLAC,17,2019,16,6,5,Oakland RaidersOAK,Oakland RaidersOAK,No,AFC West,AFC West,Yes
236,Dallas CowboysDAL,9,Philadelphia EaglesPHI,17,2019,16,7,7,Philadelphia EaglesPHI,No Favorite,No Favorite,NFC East,NFC East,Yes
237,Arizona CardinalsARI,27,Seattle SeahawksSEA,13,2019,16,4,11,Arizona CardinalsARI,Seattle SeahawksSEA,Yes,NFC West,NFC West,Yes
238,Kansas City ChiefsKC,26,Chicago BearsCHI,3,2019,16,10,7,Kansas City ChiefsKC,Kansas City ChiefsKC,No,AFC West,NFC North,No
239,Green Bay PackersGB,23,Minnesota VikingsMIN,10,2019,16,11,10,Green Bay PackersGB,Green Bay PackersGB,No,NFC North,NFC North,Yes
240,New York JetsNYJ,13,Buffalo BillsBUF,6,2019,17,6,10,New York JetsNYJ,Buffalo BillsBUF,Yes,AFC East,AFC East,Yes
241,New Orleans SaintsNO,42,Carolina PanthersCAR,10,2019,17,12,5,New Orleans SaintsNO,New Orleans SaintsNO,No,NFC South,NFC South,Yes
242,Cleveland BrownsCLE,23,Cincinnati BengalsCIN,33,2019,17,6,1,Cincinnati BengalsCIN,Cleveland BrownsCLE,Yes,AFC North,AFC North,Yes
243,Green Bay PackersGB,23,Detroit LionsDET,20,2019,17,12,3,Green Bay PackersGB,Green Bay PackersGB,No,NFC North,NFC South,No
244,Los Angeles ChargersLAC,21,Kansas City ChiefsKC,31,2019,17,5,11,Kansas City ChiefsKC,Kansas City ChiefsKC,No,AFC West,AFC West,Yes
245,Chicago BearsCHI,21,Minnesota VikingsMIN,19,2019,17,7,10,Chicago BearsCHI,Minnesota VikingsMIN,Yes,NFC North,NFC North,Yes
246,Miami DolphinsMIA,27,New England PatriotsNE,24,2019,17,4,12,Miami DolphinsMIA,New England PatriotsNE,Yes,AFC East,AFC East,Yes
247,Atlanta FalconsATL,28,Tampa Bay BuccaneersTB,22,2019,17,6,7,Atlanta FalconsATL,Tampa Bay BuccaneersTB,Yes,NFC South,NFC South,Yes
248,Pittsburgh SteelersPIT,10,Baltimore RavensBAL,28,2019,17,8,13,Baltimore RavensBAL,Baltimore RavensBAL,No,AFC North,AFC North,Yes
249,Washington RedskinsWAS,16,Dallas CowboysDAL,47,2019,17,3,7,Dallas CowboysDAL,Dallas CowboysDAL,No,NFC East,NFC East,Yes
250,Tennessee TitansTEN,35,Houston TexansHOU,14,2019,17,8,10,Tennessee TitansTEN,Houston TexansHOU,Yes,AFC South,AFC South,Yes
251,Indianapolis ColtsIND,20,Jacksonville JaguarsJAX,38,2019,17,7,5,Jacksonville JaguarsJAX,Indianapolis ColtsIND,Yes,AFC South,AFC South,Yes
252,Philadelphia EaglesPHI,34,New York GiantsNYG,17,2019,17,8,4,Philadelphia EaglesPHI,Philadelphia EaglesPHI,No,NFC East,NFC East,Yes
253,Oakland RaidersOAK,15,Denver BroncosDEN,16,2019,17,7,6,Denver BroncosDEN,Oakland RaidersOAK,Yes,AFC West,AFC West,Yes
254,Arizona CardinalsARI,24,Los Angeles RamsLA,31,2019,17,5,8,Los Angeles RamsLA,Los Angeles RamsLA,No,NFC West,NFC West,Yes
255,San Francisco 49ersSF,26,Seattle SeahawksSEA,21,2019,17,12,11,San Francisco 49ersSF,San Francisco 49ersSF,No,NFC West,NFC West,Yes
